scenario,scenario_role,tolerance,policy,controller_policy,theta,kappa,varpi,final_time,initial_h,global_normalized_choi_error,minimum_step_choi_eigenvalue,wall_time_seconds,accepted_steps,direct_accepts,projected_accepts,rotating_accepts,strang_accepts,exact_fallback_accepts,rejected_error,rejected_cp,guard_evaluations,candidate_certifications,component_searches,fallback_steps,precision_escalations,pi_memory_resets,rhs_stage_evaluations,exponential_actions
boundary_tolerance_sweep,boundary safety/fallback comparison,0.01,error_only,error_only,0.0,0.0,2.0,2.0,1.4,0.004327611992433297,-0.0034913536821074877,0.5051924190001955,3,0,0,0,0,0,2,0,0,0,0,0,0,0,60,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.01,guard_rotating_fallback,candidate_guard,0.0,0.0,2.0,2.0,1.4,6.091722947231542e-05,-3.7106479125533523e-25,0.9041831429999547,3,0,0,3,0,0,1,3,3,3,0,3,0,1,84,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.01,rotating_frame,rotating_frame,0.0,0.0,2.0,2.0,1.4,0.00034661010309685605,0.0,0.06498407099979886,2,0,0,2,0,0,0,0,0,0,0,0,0,0,24,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.01,strang,strang,0.0,0.0,2.0,2.0,1.4,8.326672684688674e-17,-6.501617097462554e-17,0.2532470880000801,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18
boundary_tolerance_sweep,boundary safety/fallback comparison,0.003,error_only,error_only,0.0,0.0,2.0,2.0,1.4,0.0016440166243959025,-0.0013738774796713147,0.3795954580000398,3,0,0,0,0,0,2,0,0,0,0,0,0,0,60,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.003,guard_rotating_fallback,candidate_guard,0.0,0.0,2.0,2.0,1.4,1.9018391371184816e-05,0.0,0.8916312319997814,3,0,0,3,0,0,1,3,3,3,0,3,0,1,84,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.003,rotating_frame,rotating_frame,0.0,0.0,2.0,2.0,1.4,0.00034661010309685605,0.0,0.0942567440001767,2,0,0,2,0,0,0,0,0,0,0,0,0,0,24,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.003,strang,strang,0.0,0.0,2.0,2.0,1.4,8.326672684688674e-17,-6.501617097462554e-17,0.1950545049999164,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18
boundary_tolerance_sweep,boundary safety/fallback comparison,0.001,error_only,error_only,0.0,0.0,2.0,2.0,1.4,0.0007916873687284027,-0.0010013590925761484,0.4790508379996936,4,0,0,0,0,0,2,0,0,0,0,0,0,0,72,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.001,guard_rotating_fallback,candidate_guard,0.0,0.0,2.0,2.0,1.4,7.453952621055388e-06,-1.1102230250602865e-16,1.3303681759998653,4,0,0,4,0,0,3,4,4,4,0,4,0,2,132,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.001,rotating_frame,rotating_frame,0.0,0.0,2.0,2.0,1.4,0.00012689042260567086,-8.481533182316791e-30,0.07704343600016728,2,0,0,2,0,0,1,0,0,0,0,0,0,0,36,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.001,strang,strang,0.0,0.0,2.0,2.0,1.4,8.326672684688674e-17,-6.501617097462554e-17,0.20263791700017464,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18
boundary_tolerance_sweep,boundary safety/fallback comparison,0.0003,error_only,error_only,0.0,0.0,2.0,2.0,1.4,0.0002358569229669584,-0.00026370286501248286,0.6160991850001665,5,0,0,0,0,0,3,0,0,0,0,0,0,0,96,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.0003,guard_rotating_fallback,candidate_guard,0.0,0.0,2.0,2.0,1.4,2.2182298373491274e-06,-3.562653249242374e-27,1.5693236319998505,5,0,0,5,0,0,4,5,5,5,0,5,0,2,168,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.0003,rotating_frame,rotating_frame,0.0,0.0,2.0,2.0,1.4,6.019302489924499e-05,-2.3167910730292682e-29,0.12425541899983727,3,0,0,3,0,0,2,0,0,0,0,0,0,0,60,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.0003,strang,strang,0.0,0.0,2.0,2.0,1.4,8.326672684688674e-17,-6.501617097462554e-17,0.18869266399997286,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18
buffered_projection,buffered disconnected case with direct retention and projection,0.001,guard_buffered_projection,candidate_guard,0.0,0.001,2.0,2.0,0.3,0.0002853084392580805,0.0,1.2971578649999174,5,3,2,0,0,0,0,2,5,5,2,0,0,0,84,0
buffered_direct,buffered case dominated by direct accepted candidates,0.0003,guard_buffered_direct,candidate_guard,0.0,0.001,2.0,2.0,0.3,0.00024668352978356493,-1.1102230246263322e-16,0.3936765230000674,5,5,0,0,0,0,0,0,5,5,0,0,0,0,60,0
near_saddle_projection,near-saddle case exercising component location and projection,0.001,guard_near_saddle,candidate_guard,0.0,0.001,1.65,1.0,1.0,0.00021027592790007218,-1.484084374338407e-29,0.6850056220000624,2,1,1,0,0,0,1,1,2,2,1,0,0,0,48,0
projection_adversarial_path_test,functionality/adversarial path test; not performance evidence,10.0,guard_projection_adversarial,candidate_guard,0.0,0.0,2.0,2.8,2.8,0.23298194452334076,0.0,0.7468310199997177,2,0,1,1,0,0,0,2,2,2,1,1,0,1,48,0
